name,genre,type,community_rating
kimi no na wa,"Drama, Romance, School, Supernatural",Movie,9.23900612209351
fullmetal alchemist brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,9.227028809151046
gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,9.036725725641764
steinsgate,"Sci-Fi, Thriller",TV,9.132477234578193
gintama1,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,9.001123595516217
haikyuu karasuno koukou vs shiratorizawa gakuen koukou,"Comedy, Drama, School, Shounen, Sports",TV,8.902539523245894
hunter x hunter 2011,"Action, Adventure, Shounen, Super Power",TV,9.071993101775687
ginga eiyuu densetsu,"Drama, Military, Sci-Fi, Space",OVA,8.831943295918993
gintama movie kanketsuhen  yorozuya yo eien nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,8.795472735284507
gintama1 enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,8.833263544839676
clannad after story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,9.007256432078307
koe no katachi,"Drama, School, Shounen",Movie,8.831660573937665
gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,8.969444619010467
code geass hangyaku no lelouch r2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,8.939073950052926
haikyuu second season,"Comedy, Drama, School, Shounen, Sports",TV,8.806266496187773
sen to chihiro no kamikakushi,"Adventure, Drama, Supernatural",Movie,8.880893581863985
shigatsu wa kimi no uso,"Drama, Music, Romance, School, Shounen",TV,8.865366357045371
mushishi zoku shou 2nd season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,8.611828689324415
ookami kodomo no ame to yuki,"Fantasy, Slice of Life",Movie,8.74447749228831
code geass hangyaku no lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,8.799065907927323
hajime no ippo,"Comedy, Drama, Shounen, Sports",TV,8.695877426492887
rurouni kenshin meiji kenkaku romantan  tsuiokuhen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,8.668462331707774
cowboy bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,8.775024236762475
one punch man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,8.78027762963845
mononoke hime,"Action, Adventure, Fantasy",Movie,8.746317095398028
suzumiya haruhi no shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,8.721007379971056
monogatari series second season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,8.6972602415268
mushishi zoku shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,8.600265542288824
mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,8.709100089981584
tengen toppa gurren lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,8.741667117646761
great teacher onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,8.691393873309963
natsume yuujinchou go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,8.309789791542919
hajime no ippo new challenger,"Comedy, Drama, Shounen, Sports",TV,8.52999830517401
mushishi zoku shou suzu no shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,8.230842617219272
natsume yuujinchou shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,8.549240602385625
howl no ugoku shiro,"Adventure, Drama, Fantasy, Romance",Movie,8.677064383061388
fatezero 2nd season,"Action, Fantasy, Supernatural, Thriller",TV,8.668732665806107
kizumonogatari ii nekketsuhen,"Action, Mystery, Supernatural, Vampire",Movie,8.239824957711663
monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,8.6368331153737
bakuman 3rd season,"Comedy, Drama, Romance, Shounen",TV,8.56126049742279
death note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,8.689205363795862
gintama aizome kaorihen,"Comedy, Parody",OVA,7.891077770748893
ansatsu kyoushitsu tv 2nd season,"Action, Comedy, School, Shounen",TV,8.567069097434333
haikyuu,"Comedy, Drama, School, Shounen, Sports",TV,8.6085696702776
hajime no ippo rising,"Comedy, Drama, Shounen, Sports",TV,8.40448113933749
kara no kyoukai 5 mujun rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,8.505789932112894
natsume yuujinchou san,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,8.482994973364086
ping pong the animation,"Psychological, Seinen, Sports",TV,8.473990183306178
mushishi special hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,8.304241535122344
boku dake ga inai machi,"Mystery, Psychological, Seinen, Supernatural",TV,8.599704427385236
yojouhan shinwa taikei,"Mystery, Psychological, Romance",TV,8.493061076704532
aria the origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,8.325759401779637
kamisama hajimemashita kakohen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,8.159092784787656
rainbow nisha rokubou no shichinin,"Drama, Historical, Seinen, Thriller",TV,8.501550310875603
rezero kara hajimeru isekai seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,8.583555027615636
tengen toppa gurren lagann movie lagannhen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,8.41516305528287
zoku natsume yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,8.473215530291126
ano hi mita hana no namae wo bokutachi wa mada shiranai,"Drama, Slice of Life, Supernatural",TV,8.57683423866181
kuroko no basket 3rd season,"Comedy, School, Shounen, Sports",TV,8.514679619069021
steinsgate movie fuka ryouiki no déjà vu,"Sci-Fi, Thriller",Movie,8.509268827790043
hotarubi no mori e,"Drama, Romance, Shoujo, Supernatural",Movie,8.511710521179024
shokugeki no souma,"Ecchi, School, Shounen",TV,8.553261495819719
yuri on ice,"Comedy, Sports",TV,8.429451955036985
gintama yorinuki gintamasan on theater 2d,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,7.615382747860622
jojo no kimyou na bouken stardust crusaders 2nd season,"Action, Adventure, Drama, Shounen, Supernatural",TV,8.403697247093111
gintama movie shinyaku benizakurahen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,8.2577620163556
hellsing ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,8.52435716079389
kiseijuu sei no kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,8.543677204818861
shouwa genroku rakugo shinjuu,"Drama, Historical, Josei",TV,8.340504695444727
uchuu kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,8.34553934726882
bakemono no ko,"Adventure, Supernatural",Movie,8.35788922160184
hotaru no haka,"Drama, Historical",Movie,8.471218965598682
